R,Time,Perf Mean,Perf Var,Perf Improvement
0,0.05,2.47612,0.079326,0
1,0.3167,5.117685,28.892827,-2.641565
2,0.6,6.090411,18.676913,-0.9727259999999998
3,0.9667,5.753061,19.904385,0.3373499999999998
4,1.4,4.742243,13.770069,1.0108179999999996
5,1.95,3.026508,0.939497,1.715735
6,2.5,2.827262,0.219376,0.19924600000000003
7,3.0833,2.468007,0.232794,0.3592550000000001
8,3.7,2.433268,0.254637,0.034739000000000075
9,4.6333,2.109044,0.013834,0.32422400000000007
10,5.6167,2.108511,0.001226,0.0005329999999998947
